Protein,Protein Name,Protein Family,ChEMBL ID
PRL,Prolactin-releasing peptide,N/A,CHEMBL4523266
PRL,Signal transducer and activator of transcription 5A,Belongs to the transcription factor STAT family,CHEMBL5403
PRL,AH receptor-interacting protein,N/A,CHEMBL4295645
PRL,Prolactin-releasing peptide receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL1681611
PRL,Geranylgeranyl transferase type-2 subunit beta,Belongs to the protein prenyltransferase subunit beta family,CHEMBL4523994
PRL,Signal transducer and activator of transcription 5B,Belongs to the transcription factor STAT family,CHEMBL5817
PRL,Bifunctional coenzyme A synthase,In the central section; belongs to the eukaryotic CoaD family,CHEMBL4105867
OTP,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",Belongs to the PDE6D/unc-119 family,CHEMBL3860
OTP,Cyclin-dependent kinase 6,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL2508
UGT2B7,UDP-glucuronosyltransferase 2B7,Belongs to the UDP-glycosyltransferase family,CHEMBL4370
UGT2B7,UDP-glucuronosyltransferase 2A1,Belongs to the UDP-glycosyltransferase family,CHEMBL1743321
UGT2B7,UDP-glucuronosyltransferase 1A1,Belongs to the UDP-glycosyltransferase family,CHEMBL1287617
UGT2B7,UDP-glucuronosyltransferase 1A10,Belongs to the UDP-glycosyltransferase family,CHEMBL1743320
TVP23B,Estradiol 17-beta-dehydrogenase 11,Belongs to the short-chain dehydrogenases/reductases (SDR) family. 17-beta-HSD 3 subfamily,CHEMBL5305043
TVP23B,Monoacylglycerol lipase ABHD6,Belongs to the AB hydrolase superfamily,CHEMBL2189127
TVP23B,Hepatic sodium/bile acid cotransporter,Belongs to the bile acid:sodium symporter (BASS) (TC 2.A.28) family,CHEMBL5287
KCTD19,Histone deacetylase 2,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL1937
KCTD19,Histone deacetylase 1,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL325
FOS,Protein c-Fos,Belongs to the bZIP family. Fos subfamily,CHEMBL5029
FOS,Transcription factor Jun,Belongs to the bZIP family. Jun subfamily,CHEMBL4977
FOS,Mothers against decapentaplegic homolog 3,Belongs to the dwarfin/SMAD family,CHEMBL1293258
FOS,X-box-binding protein 1,Belongs to the bZIP family,CHEMBL1741176
FOS,NAD-dependent protein deacetylase sirtuin-1,Belongs to the sirtuin family. Class I subfamily,CHEMBL4506
FOS,Protein FosB,Belongs to the bZIP family. Fos subfamily,CHEMBL4630821
FOS,Transcription factor JunD,Belongs to the bZIP family. Jun subfamily,CHEMBL4630755
CHRM1,Muscarinic acetylcholine receptor M1,Belongs to the G-protein coupled receptor 1 family. Muscarinic acetylcholine receptor subfamily. CHRM1 sub-subfamily,CHEMBL216
CHRM1,Potassium channel subfamily T member 2,Belongs to the potassium channel family. Calcium-activated (TC 1.A.1.3) subfamily. KCa4.2/KCNT2 sub-subfamily,CHEMBL4739693
CHRM1,Potassium channel subfamily T member 1,Belongs to the potassium channel family. Calcium-activated (TC 1.A.1.3) subfamily. KCa4.1/KCNT1 sub-subfamily,CHEMBL4739688
CHRM1,Potassium voltage-gated channel subfamily A member 2,Belongs to the potassium channel family. A (Shaker) (TC 1.A.1.2) subfamily. Kv1.2/KCNA2 sub-subfamily,CHEMBL2086
CHRM1,Potassium voltage-gated channel subfamily KQT member 5,Belongs to the potassium channel family. KQT (TC 1.A.1.15) subfamily. Kv7.5/KCNQ5 sub-subfamily,CHEMBL2925
CHRM1,Src substrate cortactin,N/A,CHEMBL4295820
CHRM1,Potassium voltage-gated channel subfamily KQT member 2,Belongs to the potassium channel family. KQT (TC 1.A.1.15) subfamily. Kv7.2/KCNQ2 sub-subfamily,CHEMBL2476
CHRM1,Transforming protein RhoA,Belongs to the small GTPase superfamily. Rho family,CHEMBL6052
ADRA1B,Alpha-1B adrenergic receptor,Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA1B sub-subfamily,CHEMBL232
ADRA1B,Alpha-1A adrenergic receptor,Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA1A sub-subfamily,CHEMBL229
ADRA1B,A-kinase anchor protein 13,N/A,CHEMBL4523643
ADRA1B,Dual specificity mitogen-activated protein kinase kinase 3,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL2109
ADRA1B,Serine/threonine-protein kinase N1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,CHEMBL3384
ADRA1B,Beta-arrestin-1,Belongs to the arrestin family,CHEMBL1795088
ANKK1,Ankyrin repeat and protein kinase domain-containing protein 1,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL5547
ANKK1,Beta-chimaerin,N/A,CHEMBL4504
ANKK1,YEATS domain-containing protein 4,N/A,CHEMBL4296266
ANKK1,Hypoxia-inducible factor 1-alpha inhibitor,N/A,CHEMBL5909
EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL6030
EIF2AK3,Endoplasmin,Belongs to the heat shock protein 90 family,CHEMBL1075323
EIF2AK3,Endoplasmic reticulum chaperone BiP,Belongs to the heat shock protein 70 family,CHEMBL1781865
EIF2AK3,Protein disulfide-isomerase A6,Belongs to the protein disulfide isomerase family,CHEMBL2146308
EIF2AK3,Eukaryotic translation initiation factor 2 subunit 1,Belongs to the eIF-2-alpha family,CHEMBL1255131
EIF2AK3,Mitofusin-2,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family. Mitofusin subfamily,CHEMBL4630807
EIF2AK3,Tyrosine-protein phosphatase non-receptor type 1,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,CHEMBL335
EIF2AK3,Protein mono-ADP-ribosyltransferase PARP16,Belongs to the ARTD/PARP family,CHEMBL4105981
EIF2AK3,Bone morphogenetic protein 2,Belongs to the TGF-beta family,CHEMBL1926496
EIF2AK3,DNA damage-inducible transcript 3 protein,Belongs to the bZIP family,CHEMBL3351207
EIF2AK3,Nuclear factor erythroid 2-related factor 2,Belongs to the bZIP family. CNC subfamily,CHEMBL1075094
MCM7,DNA replication licensing factor MCM7,Belongs to the MCM family,CHEMBL4630816
MCM7,DNA replication licensing factor MCM4,Belongs to the MCM family,CHEMBL4105745
MCM7,DNA replication licensing factor MCM3,Belongs to the MCM family,CHEMBL4630813
MCM7,DNA replication licensing factor MCM5,Belongs to the MCM family,CHEMBL4630815
MCM7,DNA replication licensing factor MCM2,Belongs to the MCM family,CHEMBL3308910
MCM7,DNA replication licensing factor MCM6,Belongs to the MCM family,CHEMBL4296011
ZNF622,Maternal embryonic leucine zipper kinase,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL4578
ZNF622,Mitogen-activated protein kinase kinase kinase 5,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL5285
TAOK2,Serine/threonine-protein kinase TAO2,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily,CHEMBL1075195
TAOK2,Dual specificity mitogen-activated protein kinase kinase 6,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL2171
TAOK2,Mitogen-activated protein kinase kinase kinase 7,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL5776
TAOK2,Dual specificity mitogen-activated protein kinase kinase 3,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL2109
TAOK2,Mitogen-activated protein kinase 8,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2276
TAOK2,Cadherin-2,N/A,CHEMBL1697669
HSPA6,Heat shock 70 kDa protein 6,Belongs to the heat shock protein 70 family,CHEMBL3232688
HSPA6,Galectin-7,N/A,CHEMBL5008
HSPA6,Protein N-lysine methyltransferase METTL21A,Belongs to the methyltransferase superfamily. METTL21 family,CHEMBL3588741
HSPA6,Proline-rich acidic protein 1,N/A,CHEMBL4879502
HSPA6,Peptidyl-prolyl cis-trans isomerase B,Belongs to the cyclophilin-type PPIase family. PPIase B subfamily,CHEMBL2075
HSPA6,Heat shock-related 70 kDa protein 2,Belongs to the heat shock protein 70 family,CHEMBL2062348
HSPA6,Low affinity immunoglobulin gamma Fc region receptor III-A,N/A,CHEMBL3856162
HSPA6,Replication protein A 70 kDa DNA-binding subunit,Belongs to the replication factor A protein 1 family,CHEMBL1764940
HSPA6,S-adenosylhomocysteine hydrolase-like protein 1,Belongs to the adenosylhomocysteinase family,CHEMBL3751646
HSPA6,Filamin-A,Belongs to the filamin family,CHEMBL4804243
HSPA6,Heat shock factor protein 1,Belongs to the HSF family,CHEMBL5869
HSPA6,Heat shock 70 kDa protein 1B,Belongs to the heat shock protein 70 family,CHEMBL3885585
HSPA6,Heat shock 70 kDa protein 1A,Belongs to the heat shock protein 70 family,CHEMBL5460
HSPA6,Endoplasmic reticulum chaperone BiP,Belongs to the heat shock protein 70 family,CHEMBL1781865
CASP3,Caspase-3,Belongs to the peptidase C14A family,CHEMBL2334
CASP3,Caspase-5,Belongs to the peptidase C14A family,CHEMBL3131
CASP3,Caspase-7,Belongs to the peptidase C14A family,CHEMBL3468
CASP3,CASP8 and FADD-like apoptosis regulator,Belongs to the peptidase C14A family,CHEMBL1955713
CASP3,Calmodulin-1,Belongs to the calmodulin family,CHEMBL6093
CASP3,Gasdermin-D,Belongs to the gasdermin family,CHEMBL4523247
CASP3,Heterogeneous nuclear ribonucleoprotein U,N/A,CHEMBL4296007
CASP3,Caspase-6,Belongs to the peptidase C14A family,CHEMBL3308
CASP3,Thioredoxin,Belongs to the thioredoxin family,CHEMBL2010624
CASP3,Serine/threonine-protein kinase MRCK alpha,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. DMPK subfamily,CHEMBL4516
CASP3,Baculoviral IAP repeat-containing protein 7,Belongs to the IAP family,CHEMBL1075127
CASP3,Serine/threonine-protein kinase TAO1,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily,CHEMBL5261
PROP1,Proteasome subunit beta type-11,Belongs to the peptidase T1B family,CHEMBL2364701
PROP1,Oxoeicosanoid receptor 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL1628461
PROP1,"Leucine-rich PPR motif-containing protein, mitochondrial",N/A,CHEMBL4295762
PROP1,Heterogeneous nuclear ribonucleoprotein F,N/A,CHEMBL4523238
GSTM1,Glutathione S-transferase Mu 1,Belongs to the GST superfamily. Mu family,CHEMBL2081
GSTM1,Aryl hydrocarbon receptor,N/A,CHEMBL3201
GSTM1,Cytochrome P450 1A1,Belongs to the cytochrome P450 family,CHEMBL2231
ISX,Tyrosine-protein kinase transmembrane receptor ROR2,Belongs to the protein kinase superfamily. Tyr protein kinase family. ROR subfamily,CHEMBL2375201
KLHL11,E3 ubiquitin-protein ligase RBX1,Belongs to the RING-box family,CHEMBL3833061
ALX1,Histone acetyltransferase p300,N/A,CHEMBL3784
ALX1,Serum amyloid P-component,Belongs to the pentraxin family,CHEMBL4929
ALX1,Elongation factor 1-delta,Belongs to the EF-1-beta/EF-1-delta family,CHEMBL4295739
ALX1,CREB-binding protein,N/A,CHEMBL5747
ALX1,Retinoic acid receptor alpha,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL2055
ALX1,Histone acetyltransferase KAT5,Belongs to the MYST (SAS/MOZ) family,CHEMBL5750
TYMS,Thymidylate synthase,Belongs to the thymidylate synthase family,CHEMBL1952
TYMS,Deoxycytidylate deaminase,Belongs to the cytidine and deoxycytidylate deaminase family,CHEMBL5675
AHCYL2,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",Belongs to the InsP3 receptor family,CHEMBL4046
AHCYL2,S-adenosylhomocysteine hydrolase-like protein 1,Belongs to the adenosylhomocysteinase family,CHEMBL3751646
TUBB6,Tubulin beta-6 chain,Belongs to the tubulin family,CHEMBL2095182
TUBB6,Heat shock protein beta-1,Belongs to the small heat shock protein (HSP20) family,CHEMBL5976
TUBB6,Kinesin-like protein KIF1B,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. Unc-104 subfamily,CHEMBL5889
TUBB6,Leucine-rich repeat serine/threonine-protein kinase 2,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL1075104
TUBB6,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
DHFR2,Dihydrofolate reductase,Belongs to the dihydrofolate reductase family,CHEMBL202
MAGOHB,Zinc finger and BTB domain-containing protein 10,N/A,CHEMBL5069372
MAGOHB,Eukaryotic initiation factor 4A-III,Belongs to the DEAD box helicase family. eIF4A subfamily,CHEMBL4105832
TUBB3,Tubulin beta-3 chain,Belongs to the tubulin family,CHEMBL2597
TUBB3,Netrin-1,N/A,CHEMBL1741307
TUBB3,Tubulin alpha-1B chain,Belongs to the tubulin family,CHEMBL3797010
SLC7A8,Large neutral amino acids transporter small subunit 2,Belongs to the amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family,CHEMBL4301
SLC7A8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,Belongs to the complex I NDUFA3 subunit family,CHEMBL2363065
SLC7A8,Sphingomyelin phosphodiesterase 2,Belongs to the neutral sphingomyelinase family,CHEMBL4712
SLC7A8,Heat shock-related 70 kDa protein 2,Belongs to the heat shock protein 70 family,CHEMBL2062348
SLC7A8,Serine/threonine-protein kinase/endoribonuclease IRE1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family,CHEMBL1163101
SLC7A8,Phosphatidylserine lipase ABHD16A,Belongs to the AB hydrolase superfamily. ABHD16 family,CHEMBL6168
SLC7A8,Catechol O-methyltransferase,Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-dependent O-methyltransferase family,CHEMBL2023
SLC7A8,Endoplasmic reticulum chaperone BiP,Belongs to the heat shock protein 70 family,CHEMBL1781865
PAQR4,Ceramide synthase 5,N/A,CHEMBL5291585
PAQR4,Ceramide synthase 2,N/A,CHEMBL5291553
ITM2C,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
SMARCE1,REST corepressor 1,Belongs to the CoREST family,CHEMBL3137262
SMARCE1,Transcription activator BRG1,Belongs to the SNF2/RAD54 helicase family,CHEMBL3085620
SMARCE1,Probable global transcription activator SNF2L2,Belongs to the SNF2/RAD54 helicase family,CHEMBL2362979
ENO3,Alpha-enolase,Belongs to the enolase family,CHEMBL3298
CYP2B6,Cytochrome P450 2B6,Belongs to the cytochrome P450 family,CHEMBL4729
CYP2B6,Nuclear receptor subfamily 1 group I member 3,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL5503
CYP2B6,Cytochrome P450 2D6,Belongs to the cytochrome P450 family,CHEMBL289
SRRM1,THO complex subunit 4,Belongs to the ALYREF family,CHEMBL4296014
SRRM1,Dual specificity protein kinase CLK2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,CHEMBL4225
SRRM1,Dual specificity tyrosine-phosphorylation-regulated kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MNB/DYRK subfamily,CHEMBL4575
SRRM1,SRSF protein kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL5668
EIF4A2,Eukaryotic initiation factor 4A-II,Belongs to the DEAD box helicase family. eIF4A subfamily,CHEMBL4105952
EIF4A2,Eukaryotic translation initiation factor 4E,Belongs to the eukaryotic initiation factor 4E family,CHEMBL4848
EIF4A2,Programmed cell death protein 4,Belongs to the PDCD4 family,CHEMBL1781868
EIF4A2,Eukaryotic translation initiation factor 4 gamma 1,Belongs to the eukaryotic initiation factor 4G family,CHEMBL4523621
EIF4A2,Heat shock protein beta-1,Belongs to the small heat shock protein (HSP20) family,CHEMBL5976
EIF4A2,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
CUL1,Cullin-1,Belongs to the cullin family,CHEMBL3758068
CUL1,Cullin-5,Belongs to the cullin family,CHEMBL5291609
CUL1,NEDD8-conjugating enzyme Ubc12,Belongs to the ubiquitin-conjugating enzyme family. UBC12 subfamily,CHEMBL4295787
CUL1,E3 ubiquitin-protein ligase RBX1,Belongs to the RING-box family,CHEMBL3833061
CUL1,M-phase inducer phosphatase 1,Belongs to the MPI phosphatase family,CHEMBL3775
CUL1,DCN1-like protein 3,N/A,CHEMBL4295894
CUL1,DCN1-like protein 1,N/A,CHEMBL4105838
CUL1,Serine/threonine-protein kinase Chk2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CHK2 subfamily,CHEMBL2527
CUL1,F-box only protein 11,N/A,CHEMBL4879484
CUL1,DCN1-like protein 4,N/A,CHEMBL4295914
PHF12,Mortality factor 4-like protein 1,N/A,CHEMBL4630863
PHF12,Histone deacetylase 2,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL1937
PHF12,Histone deacetylase 1,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL325
CASP9,Caspase-9,Belongs to the peptidase C14A family,CHEMBL2273
CASP9,Bcl-2-like protein 10,Belongs to the Bcl-2 family,CHEMBL5988
CASP9,Baculoviral IAP repeat-containing protein 2,Belongs to the IAP family,CHEMBL5462
CASP9,Mitogen-activated protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4040
CASP9,E3 ubiquitin-protein ligase XIAP,Belongs to the IAP family,CHEMBL4198
CASP9,HCLS1-associated protein X-1,Belongs to the HAX1 family,CHEMBL4295644
CASP9,Tyrosine-protein kinase ABL1,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,CHEMBL1862
CASP9,Baculoviral IAP repeat-containing protein 7,Belongs to the IAP family,CHEMBL1075127
CASP9,Caspase-7,Belongs to the peptidase C14A family,CHEMBL3468
CASP9,Serine/threonine-protein kinase TAO2,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily,CHEMBL1075195
CASP9,Granzyme B,Belongs to the peptidase S1 family. Granzyme subfamily,CHEMBL2316
CASP9,Casein kinase II subunit alpha',Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CK2 subfamily,CHEMBL4070
CASP9,Caspase-3,Belongs to the peptidase C14A family,CHEMBL2334
CASP9,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Belongs to the ANP32 family,CHEMBL4295758
CASP9,Baculoviral IAP repeat-containing protein 5,Belongs to the IAP family,CHEMBL5989
CASP9,Apoptotic protease-activating factor 1,N/A,CHEMBL1795093
DDX59,RuvB-like 1,Belongs to the RuvB family,CHEMBL3259467
DDX59,RuvB-like 2,Belongs to the RuvB family,CHEMBL2062349
SELE,E-selectin,Belongs to the selectin/LECAM family,CHEMBL3890
SELE,P-selectin glycoprotein ligand 1,N/A,CHEMBL4183
SELE,"Alpha-(1,3)-fucosyltransferase 7",Belongs to the glycosyltransferase 10 family,CHEMBL3596077
SELE,"Alpha-(1,3)-fucosyltransferase 4",Belongs to the glycosyltransferase 10 family,CHEMBL4996
SELE,Sialidase-4,Belongs to the glycosyl hydrolase 33 family,CHEMBL4174
SELE,Peptidyl-prolyl cis-trans isomerase A,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,CHEMBL1949
SELE,Ataxin-3,N/A,CHEMBL4523240
SELE,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9,Belongs to the glycosyltransferase 10 family,CHEMBL4985
SELE,Aurora kinase C,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. Aurora subfamily,CHEMBL3935
SELE,Coagulation factor X,Belongs to the peptidase S1 family,CHEMBL244
ALDH1A3,Retinaldehyde dehydrogenase 3,Belongs to the aldehyde dehydrogenase family,CHEMBL3579
RAX,SUMO-conjugating enzyme UBC9,Belongs to the ubiquitin-conjugating enzyme family,CHEMBL1741191
RAX,"Interferon-induced, double-stranded RNA-activated protein kinase",Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL5785
RAX,Cellular tumor antigen p53,Belongs to the p53 family,CHEMBL4096
ARID2,Protein polybromo-1,N/A,CHEMBL1795184
ARID2,Bromodomain-containing protein 7,N/A,CHEMBL3085622
ARID2,Serum response factor,N/A,CHEMBL4523184
ARID2,Transcription activator BRG1,Belongs to the SNF2/RAD54 helicase family,CHEMBL3085620
RAD51C,DNA repair protein RAD51 homolog 1,Belongs to the RecA family. RAD51 subfamily,CHEMBL2034807
RAD51C,26S proteasome complex subunit SEM1,Belongs to the DSS1/SEM1 family,CHEMBL2364701
RAD51C,DNA replication ATP-dependent helicase/nuclease DNA2,Belongs to the DNA2/NAM7 helicase family,CHEMBL4523236
RAD51C,Exonuclease 1,Belongs to the XPG/RAD2 endonuclease family. EXO1 subfamily,CHEMBL4523496
RAD51C,Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,Belongs to the helicase family. RecQ subfamily,CHEMBL2146312
RAD51C,RecQ-like DNA helicase BLM,Belongs to the helicase family. RecQ subfamily,CHEMBL1293237
RAD51C,Double-strand break repair protein MRE11,Belongs to the MRE11/RAD32 family,CHEMBL3308929
ATF4,"NACHT, LRR and PYD domains-containing protein 1",Belongs to the NLRP family,CHEMBL1741214
ATF4,DNA damage-inducible transcript 3 protein,Belongs to the bZIP family,CHEMBL3351207
ATF4,Histone acetyltransferase p300,N/A,CHEMBL3784
ATF4,Death-associated protein kinase 2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. DAP kinase subfamily,CHEMBL3123
ATF4,Death-associated protein kinase 3,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. DAP kinase subfamily,CHEMBL2468
ATF4,Cyclic AMP-dependent transcription factor ATF-1,Belongs to the bZIP family. ATF subfamily,CHEMBL3255
ATF4,Prolyl hydroxylase EGLN2,N/A,CHEMBL3028
ATF4,Stalled ribosome sensor GCN1,Belongs to the GCN1 family,CHEMBL3706558
ISYNA1,Protection of telomeres protein 1,Belongs to the telombin family,CHEMBL5908
LMO1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,Belongs to the complex I NDUFA7 subunit family,CHEMBL2363065
LMO1,Zinc finger and BTB domain-containing protein 43,Belongs to the krueppel C2H2-type zinc-finger protein family,CHEMBL5069369
PAQR6,Membrane-associated progesterone receptor component 1,Belongs to the cytochrome b5 family. MAPR subfamily,CHEMBL4105706
PAQR6,Mucin-1,N/A,CHEMBL3580494
TUBB,Tubulin beta chain,Belongs to the tubulin family,CHEMBL5444
TUBB,Protein diaphanous homolog 1,Belongs to the formin homology family. Diaphanous subfamily,CHEMBL4295668
TUBB,Ubiquitin-like protein NEDD8,Belongs to the ubiquitin family,CHEMBL4295831
TUBB,Tyrosine-protein kinase ABL2,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,CHEMBL4014
TUBB,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",Belongs to the complex I 24 kDa subunit family,CHEMBL2363065
TUBB,Tubulin alpha-1A chain,Belongs to the tubulin family,CHEMBL3661
TUBB,Serine/threonine-protein kinase Nek7,Belongs to the protein kinase superfamily. NEK Ser/Thr protein kinase family. NIMA subfamily,CHEMBL4849
TUBB,Transcription factor Jun,Belongs to the bZIP family. Jun subfamily,CHEMBL4977
TUBB,RNA-binding protein FXR1,Belongs to the FMR1 family,CHEMBL3879858
TUBB,Superoxide dismutase [Cu-Zn],Belongs to the Cu-Zn superoxide dismutase family,CHEMBL2354
HSPD1,"60 kDa heat shock protein, mitochondrial",Belongs to the chaperonin (HSP60) family,CHEMBL4721
HSPD1,Protein DBF4 homolog A,N/A,CHEMBL4483
HSPD1,Actin-related protein 3,Belongs to the actin family. ARP3 subfamily,CHEMBL4105857
HSPD1,"Branched-chain-amino-acid aminotransferase, mitochondrial",Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family,CHEMBL3616354
HSPD1,Eyes absent homolog 3,Belongs to the HAD-like hydrolase superfamily. EYA family,CHEMBL4296245
HSPD1,Epithelial splicing regulatory protein 1,Belongs to the ESRP family,CHEMBL4295865
HSPD1,Choline O-acetyltransferase,Belongs to the carnitine/choline acetyltransferase family,CHEMBL4039
TAF3,Transcription initiation factor TFIID subunit 3,Belongs to the TAF3 family,CHEMBL4523329
TAF3,Splicing factor 3B subunit 3,Belongs to the RSE1 family,CHEMBL1250378
TAF3,Histone acetyltransferase KAT2A,Belongs to the acetyltransferase family. GCN5 subfamily,CHEMBL5501
TAF3,Transcription initiation factor TFIID subunit 11,Belongs to the TAF11 family,CHEMBL4523300
TAF3,Transcription initiation factor TFIID subunit 1,Belongs to the TAF1 family,CHEMBL3217390
MAOA,Amine oxidase [flavin-containing] A,Belongs to the flavin monoamine oxidase family,CHEMBL1951
MAOA,Amine oxidase [flavin-containing] B,Belongs to the flavin monoamine oxidase family,CHEMBL2039
MAOA,Histone deacetylase 4,Belongs to the histone deacetylase family. HD type 2 subfamily,CHEMBL3524
MEF2C,Mitogen-activated protein kinase 14,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL260
MEF2C,Histone deacetylase 4,Belongs to the histone deacetylase family. HD type 2 subfamily,CHEMBL3524
MEF2C,Mitogen-activated protein kinase 11,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL3961
MEF2C,Mitogen-activated protein kinase 7,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL5332
MEF2C,Transcription factor SOX-18,N/A,CHEMBL4523220
MEF2C,Histone deacetylase 5,Belongs to the histone deacetylase family. HD type 2 subfamily,CHEMBL2563
MEF2C,Histone deacetylase 7,Belongs to the histone deacetylase family. HD type 2 subfamily,CHEMBL2716
MEF2C,"Myosin light chain kinase 2, skeletal/cardiac muscle",Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL2777
MEF2C,A-kinase anchor protein 13,N/A,CHEMBL4523643
MEF2C,Bone morphogenetic protein 10,Belongs to the TGF-beta family,CHEMBL3713453
MEF2C,Histone deacetylase 9,Belongs to the histone deacetylase family. HD type 2 subfamily,CHEMBL4145
MEF2C,Histone-arginine methyltransferase CARM1,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family,CHEMBL5406
MEF2C,Dual specificity mitogen-activated protein kinase kinase 5,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL4948
MEF2C,Protein kinase C zeta type,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,CHEMBL3438
MEF2C,Transcription factor SOX-9,N/A,CHEMBL4523231
PTN,Pleiotrophin,Belongs to the pleiotrophin family,CHEMBL4523199
PTN,Tyrosine-protein phosphatase non-receptor type 5,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL2007628
PTN,Tyrosine-protein phosphatase non-receptor type 9,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 3 subfamily,CHEMBL6117
PTN,Tyrosine-protein phosphatase non-receptor type 2,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,CHEMBL3807
PTN,Tyrosine-protein phosphatase non-receptor type 4,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL3165
